,company_id,preview,review,date,rating,likes
0,entertainment/netflix,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to w,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to watch Criminal Minds on but I enjoyed watching it on Netflix more than any other app because they are no adds and amazing quality. It's overall a great app.,2022-05-31,5,0
1,entertainment/netflix,I enjoy Netflix however I don’t think they have enough ** romantic comedies. Sometimes the app is not that great with suggesting shows that you may like. I also don’t like how many of the representation matters programs for ** people are centered around ,I enjoy Netflix however I don’t think they have enough ** romantic comedies. Sometimes the app is not that great with suggesting shows that you may like. I also don’t like how many of the representation matters programs for ** people are centered around police violence. It’s very triggering to see that every time you watch a movie. I’ve noticed in many of Netflix programming that they like to add in these triggering scenes and it’s becoming quite predictable. Overall the app is good and is a good alternative to cable. We need more light hearted programming. Less focused on social themes just some funny shows to watch.,2021-09-18,4,24
2,entertainment/netflix,"I have belonged to Netflix for many years. I do not like how much the monthly fee go up each year. I am paying about $15 each month. It keeps me from joining any other services, and there are shows I wish I could watch, but they are on other providers. S","I have belonged to Netflix for many years. I do not like how much the monthly fee go up each year. I am paying about $15 each month. It keeps me from joining any other services, and there are shows I wish I could watch, but they are on other providers. So far I am finding things to watch on Netflix, but I wish I did not have to join so many others in order to try out different shows. For example, I wish I could watch The Handmaid's Tale on Hulu.",2021-09-10,4,16
3,entertainment/netflix,"I have been disabled for years, if it wasn’t for Netflix and other streaming opportunities I could not have made it. I am on medications that do not give me much time to go outdoors. I spend most of my time just relaxing while in pain. Pain sometimes so ","I have been disabled for years, if it wasn’t for Netflix and other streaming opportunities I could not have made it. I am on medications that do not give me much time to go outdoors. I spend most of my time just relaxing while in pain. Pain sometimes so bad that I cannot do much. Netflix offers a wide variety of programs that not only pique my interest but allows me for times to forget the pains and uneasiness that I go through daily also allowing me times to stay informed of things that are going on outside and in the world today. I hope that their continued variety they offer will make things more exciting and bearable to get me through the hard times I face now and in the future. May the Lord bless us all especially those facing the same as myself. Thank you for this opportunity today for being able to voice my opinion. May this help others.",2021-09-08,5,16
4,entertainment/netflix,"Netflix is a great movie website to use with a variety of options that you can choose to fit your needs. Netflix has three plans based on cost, number of devices you can have downloads on, unlimited shows, and quality of content. The plans range from $8.","Netflix is a great movie website to use with a variety of options that you can choose to fit your needs. Netflix has three plans based on cost, number of devices you can have downloads on, unlimited shows, and quality of content. The plans range from $8.99, $13.99, to $17.99. Once you sign up, you are charged once a month on the date you signed up for. They offer the convenience to change your plan or cancel at any time. Once you exit out of your show, they automatically pause where you left off. Netflix has series shows, movies, and TV shows. If you are looking for something to just come home and relax to after a long day, then Netflix is perfect for you!",2021-09-02,5,13
5,entertainment/netflix,"When it works, it's fine. Content is a little boring, needs more varied selection. The app randomly kicks me out in mid playback. Doesn't happen every day, but some days it's impossible to continue watching a program. I have a 400 mbps connection, so it'","When it works, it's fine. Content is a little boring, needs more varied selection. The app randomly kicks me out in mid playback. Doesn't happen every day, but some days it's impossible to continue watching a program. I have a 400 mbps connection, so it's not that. It also does not happen on Disney, Hulu, or prime, or any of a dozen ad-supported apps, only Netflix. Since I usually just switch to another service when it happens twice during a program, I'm thinking I might be better off just cancelling it for a year or so to see if they can get their act together.",2022-07-25,1,0
6,entertainment/netflix,"I have been a Netflix customer for more than 5 years now. I had to call them because I just discover they have been billing me twice monthly. So, when I asked them to reimburse me the whole time, they have been double billing me. They said, they can't be","I have been a Netflix customer for more than 5 years now. I had to call them because I just discover they have been billing me twice monthly. So, when I asked them to reimburse me the whole time, they have been double billing me. They said, they can't because there is another account on my billing. So, Netflix is scamming customers, and they don't take account you are a loyal customer. So, I am done with Netflix, and I will advise anyone if you want to get scam be my guest. Otherwise, stay away from Netflix.",2022-07-23,1,0
7,entertainment/netflix,Netflix has really gone down hill! They charge way too much money and any time they get a new series that’s any good they cancel after one season. I actually got so frustrated that I stopped using my app. I get a tear free through my phone but I won’t be,Netflix has really gone down hill! They charge way too much money and any time they get a new series that’s any good they cancel after one season. I actually got so frustrated that I stopped using my app. I get a tear free through my phone but I won’t be continuing. I would rather watch a streaming service that continues to provide entertainment for current customers than one who only cares about getting new subscribers. They don’t care about keeping long time customers happy at all which is a shame. Would give 0 stars if I could.,2022-07-03,1,2 
8,entertainment/netflix,I will not be re-joining until you meet the standard Resolution. 480P for 9.99 a month? Have you ever watched 480P on a 75 inch TV? Well it is similar to watching an old VHS tape in the early 90s.... No wonder you are losing business. I used to Enjoy Net,I will not be re-joining until you meet the standard Resolution. 480P for 9.99 a month? Have you ever watched 480P on a 75 inch TV? Well it is similar to watching an old VHS tape in the early 90s.... No wonder you are losing business. I used to Enjoy Netflix.,2022-06-15,1,0
9,entertainment/netflix,"I contacted Netflix about an issue with downloading their content and it not working once offline. After an hour of waiting for them to file with the technical department, I was told it had been escalated and to just check back from time to time to see i","I contacted Netflix about an issue with downloading their content and it not working once offline. After an hour of waiting for them to file with the technical department, I was told it had been escalated and to just check back from time to time to see if it was working. I felt this was not a good enough answer and someone should contact me to let me know what the problem was and if it had been corrected. They told me they could not. I then talked with a supervisor that told me the same thing. After this I said I should at least receive a refund for a month since my service was not fully working (even though this problem had been going on for many months), they said they would not refund any amount. I feel it is very poor company that is making a lot of money but can't refund a customer that is having a problem with their service that they are paying for. Netflix is a poorly ran company.",2022-06-14,1,2 
10,entertainment/netflix,"We use to get some pretty good series on Netflix, now almost every series is made in a different country and English is dubbed in. The quality is so bad, I am now looking for a different streaming service. I prefer American/English speaking shows not for","We use to get some pretty good series on Netflix, now almost every series is made in a different country and English is dubbed in. The quality is so bad, I am now looking for a different streaming service. I prefer American/English speaking shows not foreign films.",2022-06-12,1,5 
11,entertainment/netflix,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to w,Don't get me wrong. Netflix is a great app and I really enjoy it but I'm very upset about how they're taking off Criminal Minds Seasons 1-10 on June 29th 2022 and they're taking off Corpse Bride which I'm very upset about too but they are other apps to watch Criminal Minds on but I enjoyed watching it on Netflix more than any other app because they are no adds and amazing quality. It's overall a great app.,2022-05-31,5,0
12,entertainment/netflix,My account sold out to somewhere on weB now they want me to pay $19.99 per month. Get the hell out of here. When talking to people and they in Philippines they don’t know crap. I tried to cancel ASAP but they want this n that plus my card number. Hell no,My account sold out to somewhere on weB now they want me to pay $19.99 per month. Get the hell out of here. When talking to people and they in Philippines they don’t know crap. I tried to cancel ASAP but they want this n that plus my card number. Hell nope. Not stupid.,2022-05-30,1,2 
13,entertainment/netflix,"Over the years, I've enjoyed many a relaxing evening watching quality movies and shows on Netflix. But in the past few years, Netflix has taken a turn. To be fair, it may not be just Netflix alone in the landscape of a craven and agenda-driven entertainm","Over the years, I've enjoyed many a relaxing evening watching quality movies and shows on Netflix. But in the past few years, Netflix has taken a turn. To be fair, it may not be just Netflix alone in the landscape of a craven and agenda-driven entertainment industry, but because it controls so many hundreds of millions of production dollars and is the number one streaming platform, I feel Netflix is highly culpable.
Read full review",2022-05-26,1,0
14,entertainment/netflix,"I love Netflix. However, if commercials are added, I'm canceling my subscription. I am tired of interruptions due to useless commercials. Enough already. I'm paying for No commercials. Keep it that way.","I love Netflix. However, if commercials are added, I'm canceling my subscription. I am tired of interruptions due to useless commercials. Enough already. I'm paying for No commercials. Keep it that way.",2022-05-11,4,2 
15,entertainment/netflix,"Crappy service, mostly old stuff and now going after password sharing **. It’s not like we are making a business out it. We just use it between family and will be penalize just for that. We agree it’s time to move on to a better content and more actualiz","Crappy service, mostly old stuff and now going after password sharing **. It’s not like we are making a business out it. We just use it between family and will be penalize just for that. We agree it’s time to move on to a better content and more actualized platform",2022-04-24,1,8 
16,entertainment/netflix,I have been a Netflix member for many years. I am now considering canceling my subscription because Netflix has gone too far with the repetitive price increases. I have also noticed an increase of foreign action and horror movies that I have no interest ,"I have been a Netflix member for many years. I am now considering canceling my subscription because Netflix has gone too far with the repetitive price increases. I have also noticed an increase of foreign action and horror movies that I have no interest in. Therefore, I don't understand why I am being recommended these movies. I have began watching TV shows and new release movies on other streaming services.",2022-04-21,2,9 
17,entertainment/netflix,"Netflix said they have lost revenue in Last quarter and possibly more. But they have millions of subscribers. Now they cry about people sharing passwords but it wasn't a problem before. And not to mention, jacking their prices all the time. Me personally","Netflix said they have lost revenue in Last quarter and possibly more. But they have millions of subscribers. Now they cry about people sharing passwords but it wasn't a problem before. And not to mention, jacking their prices all the time. Me personally I'm scratching Netflix. It's one thing that gets my attention is a co. that whines while sticking it to their customers. Just a thought.",2022-04-20,1,8 
18,entertainment/netflix,"Honestly, Netflix has gone downhill. If they add commercials I will definitely cancel my subscription. Already went through 4 price increases. For that I stick to cable, Hulu and every other app that have commercials.","Honestly, Netflix has gone downhill. If they add commercials I will definitely cancel my subscription. Already went through 4 price increases. For that I stick to cable, Hulu and every other app that have commercials.",2022-04-20,1,10
19,entertainment/netflix,"Price is still okay, movies are so and so. What is really bad and shameful is the movie abstract, that brief description of what the movie is about. Lately Netflix doesn’t write anything or just copies the cast names. Like we are stupid and do not know t","Price is still okay, movies are so and so. What is really bad and shameful is the movie abstract, that brief description of what the movie is about. Lately Netflix doesn’t write anything or just copies the cast names. Like we are stupid and do not know the names are a little bit more to the left on our screen. You have no clue what movie you will see. This may be just because they cut funding and use a robot, or an idiot. Or, can be a mischievous secret procedure to force you see bad movies until you are tired and go to bed. I am disappointed!",2022-04-18,2,3 
20,entertainment/netflix,I have been a Netflix member for years and just this month they canceled me out of the blue. What kind of company does that to a customer that has been paying them for years. They don't care about their customers. They charge way too much to just cancel ,I have been a Netflix member for years and just this month they canceled me out of the blue. What kind of company does that to a customer that has been paying them for years. They don't care about their customers. They charge way too much to just cancel you like that. They don't even care to fix their mistake. Money hungry people. I think people should research this bad company before becoming a member. They don't treat their members very good...,2022-04-10,1,6 
21,entertainment/netflix,"As a new customer to Netflix I watched my credit card statement for the first bill. My statement showed four Billings in one month, all for the same amount. One billing was the supposed total monthly amount. Netflix customer service told me that there wa","As a new customer to Netflix I watched my credit card statement for the first bill. My statement showed four Billings in one month, all for the same amount. One billing was the supposed total monthly amount. Netflix customer service told me that there was a mistake with the original setup that caused the extra Billings. To my chagrin they then told me there was nothing they could do as they cannot change the system. After holding for a supervisor for what seemed an eternity I was told the same thing- cannot change the system. It seems to me there is something seriously wrong with a 500 billion dollar company that cannot correct mistakes in customer billing. Buyer beware.",2022-03-22,1,4 
22,entertainment/netflix,"They have increased the prices for the DVD plans and have slowed the service by mailing from across the country to get them to me (CA to TX), even though distribution centers are also in TX. USPS adds to the delay by losing items and just being LATE. For","They have increased the prices for the DVD plans and have slowed the service by mailing from across the country to get them to me (CA to TX), even though distribution centers are also in TX. USPS adds to the delay by losing items and just being LATE. For 2 DVD's mailed back to them on the SAME day from the post office, they will show the 2nd one returned DAYS after recording the first one returned. Not worth the money! For the plan with 2 DVD's out at a time, I got maybe 5 DVD's per MONTH. I cancelled after several years of much better service from them & am NEVER going back.",2022-03-15,1,0
