0,11/17/21 5:01PM,Awful awful awful terrible awful awful awful now I'm not only out of money out of computer but also ink cartridges as well as I find it disgusting they will not help you without charging money are you kidding me but I guess that's what you get when you buy junk I'm reporting it to the better Business bureau,neg
1,11/15/21 9:14AM,Their customer service is non-existent. Would never/ever work with this company again. Just not worth it.,neg
2,11/8/21 10:10AM,"This is the VERY WORST SUPPORT SERVICE I HAVE EVER ENCOUNTERED!! I have a Canon account. After a couple humans talked to me, I got a recording saying that I don't have one!! My product may not be registered, but when I went to register it at the email address they gave me, it was completely unhelpful as well. Horrible!",neg
3,11/2/21 12:49AM,"The wrost company ever i seen.could not connect to the customer care or toll free number,
they are always busy",neg
4,9/26/21 2:48AM,"I purchased this type of printer because my daughter just purchased a Canon printer with the ink bottles and was very happy with her purchase. So I purchased a Canon similar to her printer, but this printer will not print from wireless as advertised. This model printer will not scan and it takes prompting printer several times to get this printer to printer.",neg
5,9/21/21 9:40AM,I ordered a MF644 printer directly from Canon - figured it would be more timely than a third party. WRONG! After they charged me 749.00 for printer and ink - they send me 300 worth of ink with no printer and offer no time frame for their backordered printer. I asked what they could do - the response was nothing but I could pay to send the ink back and they would refund when they receive in 10 to 20 days - it shouldn't cost a consumer money and time to do business with a company. DON't buy Canon.,neg
6,8/31/21 1:48PM,"The Canon Pixima TR 150 portable printer is $400.00 CDN . It does not deliver as expected, especially at that price point.On plain printing paper be prepared to see dull greys instead of black and washed out colours with little saturation. Same with premium quality paper. Same after running the auto print head cleaning function and the print head alignment function. This is after a few uses. I have had this printer for two months. In speaking to a Canon customer service Tech guy I was told that regardless of the clearly stated description on the package that advertised the fact that this printer is compatible with Apple IOS devices that is the expected quality of printing using Apple devices. I went through almost all of my cartridge ink trying to print on different settings to discover that on plain printing paper the only setting that delivers true Blacks and Saturated Colours is the Photo II setting on plain paper. All very well and good except that on the Photo II setting to get the Printing quality you paid for you will find yourself running out of ink Quickly. Good for Canon Cartridge Sales.",neg
7,8/26/21 2:46PM,"After 3 hr of trying to set up a printer I just returned it to walmart. Why so complicated? How about 1 wire and 1 button.No, just follow these 23 simple steps. Besides the instructions that came with the unit their are 2 other slightly different sets of instructions on the web. 2 hrs in I found a password that you supply! I have been without a printer for many years and will continue.You're now on my list. BTW don't bother with the phony, ""sorry to hear..."". Can I get my 3 hours back? If you made it simpiler you could b checking out my photos and other docs.right now, sorry!",neg
8,8/24/21 5:39PM,"I'm very knowledgeable in the field of computer science. I have spent 20 years as a Web Programmer. I recently purchased a Canon MF236n laser printer. I attempted to install the required printer driver for my HP laptop running Windows 10 Home edition and the printer refuses to communicate with the PC. I don't think that this is a case of ""operator error"" Cannon seriously screwed up the driver download and install process. Installing a printer driver is a simple and easy thing, I've done it thousands of times. Customer service has been unhelpful. Really? I'm giving the MF236n and Canon customer service a one star rating.",neg
9,8/17/21 11:01AM,As a business we use a copy machine alot. The people at Cannon could care less about customer service after they stick you with a machine. We have 3 of the Cannon machines and we used to get good service and support but in the last several years it has taken a 90 degree turn and I can tell you it will be a cold day in you know what before we ever buy another Cannon product.,neg
10,8/11/21 8:18AM,"I have called 6 times trying to get them to help me with my camera, and they won't answer and hang up on me!! I need something from it today.",neg
11,8/4/21 4:50PM,Canon US is one of the worst companies. There customer service is non existent. Calling them is a nightmare been on the phone with automated call for hours .,neg
12,7/26/21 8:55AM,"Absolute joke of customer service. I bought a brand new lens and after quickly realizing that it had a defect, I sent it to the authorized canon service shop for a warranty repair. They first said they fixed it but they didn't properly do it, so I had to give it to them again. In the second repair attempt, they made the problem even worse, and I had to leave the lens with them for a third repair. Now, after another 2 of waiting, they're saying I have to wait for another 3 weeks just for new parts to arrive. They have already had the lens for over 5 weeks! I contacted Canon directly 2.5 weeks ago about the problem and since then have called and emailed them another 5-7 times, but no one has ever responded to me. They basically don't care whatsoever and are completely incapable of fixing a problem they caused.",neg
13,7/23/21 10:02AM,"They were super rude, and said okay don't call us back and hung up. Like all I asked was how to stop the horizontal lines and that's it",neg
14,7/22/21 9:22AM,I do not recommend Canon printing products for any reason. I purchased $340 in laser toner cartridges for my newer Color ImageCLASS MF642Cdw. I replaced all 4 of them at the same time and with in 6 weeks of them being installed they are all down to less than 30% left on them and I inly printed less than 250 pages of black & white copies. I called canon and they told me there is only a 14 day warranty on them and there is nothing they could do. So $340 down the drain for less than 8 weeks and less than 250 pages of printing. Ink jet printers last longer. Never again will I buy from them.,neg
15,7/8/21 7:26AM,Downloading driver from Canon website cratered my printer and they refuse to talk to me without paying for support. Printer MG7120,neg
16,7/6/21 2:45PM,"I have tried multiple times to get help with my Canon G7020 printer. The automated online ""knowledge base"" doesn't help. I tried calling the Canon help number but the system informed me that I needed to log into my account first. I tried multiple times to log in to my Canon Account and am redirected immediately, and all I get is an error message. I cannot create an account because I already have one.

My printer is only a year old and any company that closes off support for a product that new doesn't deserve ANY customer loyalty.",neg
