0,2022-01-13 15:42:00,"I purchased an item online at K-mart.com and payed with Paypal. First thing I saw was they would not take money until item was shipped, Nope, Money was taken immediately. No shipping confirmation, no tracking, nothing. !0 days later K-mart sends update saying they noticed seller had not sent tracking info. Still no tracking info and no package received. Contacted K-mart- Sears Customer Service. Finally got an email saying item no longer available, Sorry for any inconvenience. I contacted Paypal and they are issuing a refund. I will never attempt to place another order with K-Mart,- Sears again. K-Mart Sucks!",neg,Kmart
1,2021-11-30 22:54:00,Went to your store at Whitfords. Only had 2 items. I do not go through the self service in any store so waited patiently for the only person at a checkout. I have never seen anyone so slow there was only one person before me. Changed staff whilst serving these ladies. In the meantime my husband who was waiting outside was thinking of sending in a search party for me. I was nearly ready to leave my purchases and walk out! I may be wrong but it seemed like it was deliberately slow so we would move to self service. Have decided not to go to that store again or any other of your stores if you do not provide a checkout other than self serve.,neg,Kmart
2,2021-11-15 15:54:00,"I had the worst customer service experience on 15/11/2021 @ 5:50pm at Kmart wadonga, at self service checkout I had this staff lady name Jessica, come out to me asking if I was going to pay for all my shopping, complete and utter bull. She was rude, obnoxious and out of line, I recommend she be sacked, or out for a comprehensive customer service training 2.0",neg,Kmart
3,2021-10-20 10:50:00,"I'm very sad to see Kmart close. My son is autistic and LOVES Kmart. He loves going to get store ads. Sadly, there are no more in our area. Is there any way we can get old copies of store ads? All he asks for is his Kmart papers.",neg,Kmart
4,2021-08-04 22:46:00,"I use the online service to buy a pair of pajamas on July 20. I paid $10 postage it is now the 5th of August and the pajamas have not arrived and Kmart does not answer my emails and to contact them by phone takes at least 30 minutes (which I can not spare).

Their on line service is a joke.",neg,Kmart
5,2021-06-08 17:56:00,Kmart is a big scam. I ordered shoes. They were too small when they arrived. I sent them back and they charged me to have them shipped to me and they charged me to send them back. They received $14.00 of my money just because. Please don't buy from Kmart!!!!!!!! You people should be ashamed of yourselves!!,neg,Kmart
6,2021-04-05 21:26:00,"Hello, Today I made a purchase at Kmart Wodonga,1238 Store. Very disappointed with Customer Service. Two young Staff Members ,standing near The Check Out Area at 10.24 am on 6th April 2021. Not one Serviced Register Open. One girl was a Supervisor. Unsure about the other, perhaps she was an ornament. I politely asked for a Cash Operated Register. I was directed to a Self Serve One. Having been a KMart Staff Member,for a number of year. I feel your Service Level is very poor. Not every Register should be Self Service.",neg,Kmart
7,2020-08-27 21:05:00,"Kmart Guam- So so sad customer service at Guam. I walked up to a register that was open, but the cashier didn't look so happy to help me I guess because I broke up their conversion (Three cashiers talking),While the cashier rung up about three items she asks me if I was a shop your way member, I said yes here's my card, she then told me hold on ma'am I don't know how to do this meaning..she didn't know how to SCAN MY MEMBER CARD, she yells out for help to another cashier the other cashier came by and my cashier asks her how do I do this card(membership card) the other cashier tells her JUST SCAN IT!?? &#9792;&#65039;. As the cashier was scanning my items I noticed one item that was a different price from what I saw on the shelf, so I told her about it and she just looked at me like she didn't care, so I told her what are you gonna do about it, she just keep putting my items into the bag, I then said aren't you gonna check it? Didn't respond so I then asked her if she wanted me to go back and take a picture of the price and she said yes, so I went and took a picture myself which I know they're suppose to go and check the price themselves. So I went back to she her my phone she then told me I needed to go to customer service, I stood there and said but there's NO ONE there, so finally someone came to the counter so I told her what happened, she said I that she needs to go and check the price, I told her that the cashier told me to go and take a picture so I was telling her I had a picture of it on my phone, but she said she had to check herself,when she came back she told me that it was for another item, I then told her why was it placed on the shelf she said I don't know, so she then called for the supervisor cashier which was MY SAME CASHIER that didn't know how to scan my shop your way card?? &#9792;&#65039;. So the cashier said she wasn't gonna make any price adjustment, so I asked them what are they gonna do about it, the customer service representative called for the stocker to fix it. Just not SO HELPFUL AND FRIENDLY. PLEASE TRAIN YOUR EMPLOYEES PROPERLY. TRAINED PEOLPE OUT THERE ARE LOOKING FOR JOBS.",neg,Kmart
8,2020-05-30 05:17:00,I ordered a floor mat on line . The item advertised was not what I received. They choose to give me what they had on hand . I walked in the Long Beach K-Mart with the mat and my receipt. Before I could explain the women at customer service was so unbelievable rude . She didn't let me explain and only said no return.I really forget how bad the service was . She was quick to make me remember. I will never shop there,neg,Kmart
9,2020-05-08 01:48:00,"Their marketplace is a rip off and Kmart is aware of this and does nothing about it. The vendors never have the item's they advertise, and takes month's to refund your money, if they would even refund an item at all. They try to keep your money.
I will Never shop at Kmart again. I've been waiting on a refund for over 2 months.",neg,Kmart
